day,nav_usd,wbtc_usd,nav_wbtc,roi_in_wbtc,roi_in_usd,alpha_vs_wbtc
2025-11-23,0.72216539,87171.60,0.00000828,-0.017579,-0.278391,-0.017579
2025-11-24,0.73486034,88562.82,0.00000830,-0.016013,-0.265706,-0.016013
2025-11-25,0.72621635,87636.75,0.00000829,-0.017312,-0.274343,-0.017312
2025-11-26,0.74753339,90451.47,0.00000826,-0.019944,-0.253043,-0.019944
2025-11-27,0.75602117,91487.25,0.00000826,-0.020038,-0.244561,-0.020038
2025-11-28,0.75259403,91112.90,0.00000826,-0.020472,-0.247986,-0.020472
2025-11-29,0.74968851,90760.23,0.00000826,-0.020463,-0.250889,-0.020463
2025-11-30,0.75157943,90926.43,0.00000827,-0.019787,-0.249000,-0.019787
2025-12-01,0.71333377,86671.04,0.00000823,-0.023989,-0.287216,-0.023989
2025-12-02,0.75806390,91868.24,0.00000825,-0.021465,-0.242520,-0.021465
2025-12-03,0.77563089,93703.96,0.00000828,-0.018404,-0.224967,-0.018404
2025-12-04,0.76372499,92330.27,0.00000827,-0.019091,-0.236863,-0.019091
2025-12-05,0.73703706,89168.10,0.00000827,-0.019798,-0.263531,-0.019798
2025-12-06,0.73829708,89196.46,0.00000828,-0.018434,-0.262272,-0.018434
2025-12-07,0.74170255,89817.85,0.00000826,-0.020729,-0.258869,-0.020729
2025-12-08,0.75008485,90811.41,0.00000826,-0.020497,-0.250493,-0.020497
2025-12-09,0.76599477,92751.55,0.00000826,-0.020644,-0.234595,-0.020644
2025-12-10,0.76242976,92293.05,0.00000826,-0.020360,-0.238158,-0.020360
2025-12-11,0.76281592,92565.63,0.00000824,-0.022750,-0.237772,-0.022750
2025-12-12,0.74518587,90369.58,0.00000825,-0.022137,-0.255388,-0.022137
2025-12-13,0.74379804,90194.57,0.00000825,-0.022064,-0.256775,-0.022064
2025-12-14,0.72757045,88050.82,0.00000826,-0.020110,-0.272990,-0.020110
2025-12-15,0.71235920,86287.77,0.00000826,-0.020994,-0.288190,-0.020994
2025-12-16,0.72349065,87775.30,0.00000824,-0.022546,-0.277067,-0.022546
2025-12-17,0.71006892,86061.55,0.00000825,-0.021576,-0.290478,-0.021576
2025-12-18,0.70549204,85494.36,0.00000825,-0.021433,-0.295052,-0.021433
2025-12-19,0.72801508,88230.97,0.00000825,-0.021513,-0.272546,-0.021513
2025-12-20,0.72798205,88285.26,0.00000825,-0.022159,-0.272579,-0.022159
2025-12-21,0.73144926,88580.46,0.00000826,-0.020776,-0.269114,-0.020776
